time	clg	htg
hr 	btu	btu
493	8738	-657456
494	7900	-505537
495	7588	-511730
496	7469	-548070
497	7320	-788671
498	7149	-822560
499	6984	-819974
500	4868	-813972
501	4157	-807821
502	4157	-797229
503	4157	-790710
504	4157	-775526
505	4157	-801554
506	4157	-806056
507	4157	-844721
508	4157	-831371
509	4157	-790451
510	4157	-640064
511	4157	-626562
512	17630	-733705
513	6003	-562064
514	2971	-455305
515	390	-385763
516	562	-362586
517	161	-352508
518	0	-323931
519	0	-308418
520	0	-331665
521	3024	-396756
522	6180	-493323
523	33692	-585050
524	29065	-544056
525	26612	-600219
526	14629	-635209
527	8316	-650962
528	6431	-657302
529	5843	-664858
530	5641	-644831
531	5515	-650142
532	5419	-735040
533	5337	-796804
534	5260	-630973
535	6042	-596273
536	31742	-679194
537	1273	-438771
538	0	-350533
539	0	-314037
540	0	-303887
541	0	-301652
542	0	-270949
543	0	-250820
544	0	-267937
545	0	-330651
546	4413	-444287
547	43660	-553942
548	36091	-510681
549	33104	-525739
550	20918	-554254
551	11602	-556369
552	8308	-557829
553	7528	-564189
554	7250	-554693
555	7051	-556265
556	6886	-560734
557	6737	-591543
558	6599	-516521
559	7399	-499328
560	39874	-593984
561	0	-332199
562	0	-237187
563	0	-196651
564	0	-205831
565	0	-194777
566	0	-167874
567	0	-145445
568	0	-170760
569	0	-245125
570	1582	-364990
571	6140	-438353
572	45680	-426135
573	40236	-438276
574	24618	-464356
575	14326	-491494
576	9379	-500367
577	8026	-506344
578	7731	-528697
579	7513	-535565
580	7342	-562441
581	7187	-568472
582	7040	-498366
583	7859	-480150
584	46832	-570507
585	0	-286935
586	0	-182912
587	0	-135778
588	0	-138727
589	0	-143028
590	0	-125495
591	0	-110663
592	0	-132693
593	0	-207724
594	0	-329637
595	5492	-419520
596	6371	-394325
597	45543	-507592
598	26906	-540291
599	15616	-565864
600	10462	-566745
601	8481	-574305
602	7916	-580701
603	7675	-586409
604	7494	-581813
605	7331	-602195
606	7179	-488903
607	7995	-497369
608	6188	-547381
609	0	-315721
610	0	-207050
611	0	-158171
612	0	-172276
613	0	-171907
614	0	-141597
615	0	-124889
616	0	-160896
617	0	-262103
618	0	-418483
619	4854	-521106
620	6151	-687380
621	45678	-812427
622	27319	-830790
623	16154	-806221
624	10985	-766677
625	8882	-799901
626	7890	-834505
627	7466	-858774
628	7231	-881776
629	7027	-893651
630	6842	-914983
631	6678	-950871
632	22633	-913808
633	24728	-853359
634	22172	-798576
635	20754	-737976
636	19586	-706984
637	18597	-679683
638	16173	-512359
639	15051	-519538
640	14324	-548725
641	13568	-767733
642	12793	-848084
643	12045	-840562
644	6121	-834114
645	4157	-822609
646	4157	-803117
647	4157	-820653
648	4157	-801161
649	4157	-911708
650	4157	-1039130
651	4157	-1111970
652	4157	-1051530
653	4157	-1017430
654	4157	-967571
655	4157	-983324
656	9954	-888355
657	10641	-843213
658	9787	-802792
659	9396	-779461
660	9090	-740019
661	8839	-726327
662	7945	-556060
663	7620	-573003
664	7503	-572744
665	7349	-701938
666	7176	-673581
667	7014	-710645
668	4876	-710883
669	4157	-742816
670	4157	-803888
671	4157	-888014
672	4157	-942330
673	4157	-882547
674	4157	-867487
675	4157	-811681
676	4157	-828126
677	4157	-829852
678	4157	-646264
679	4157	-627278
680	18419	-712660
681	5901	-520202
682	2600	-415996
683	0	-346790
684	0	-325962
685	0	-328864
686	0	-316808
687	0	-312971
688	0	-333872
689	2689	-391026
