time	clg	htg
hr 	btu	btu
1161	10867.5	-640070
1162	9968.87	-629192
1163	9558.29	-620881
1164	9239.79	-608779
1165	8981.8	-570792
1166	8012.33	-415548
1167	5060.95	-397184
1168	6716.41	-417659
1169	7498.68	-448180
1170	7326.39	-441006
1171	7146.31	-486410
1172	4907.81	-510622
1173	4157.3	-560672
1174	4157.3	-596006
1175	4157.3	-648548
1176	4157.3	-682583
1177	4157.3	-666168
1178	4157.3	-679903
1179	4157.3	-661449
1180	4157.3	-674108
1181	4157.3	-656030
1182	4157.3	-667682
1183	4157.3	-669474
1184	7097.32	-742963
1185	7634.1	-698528
1186	7288.38	-669896
1187	7118.24	-646098
1188	6970.71	-632126
1189	6851.86	-622642
1190	6493.57	-475588
1191	6346.22	-482071
1192	6261.41	-505025
1193	6153.95	-626868
1194	6026.84	-646480
1195	5910.1	-639264
1196	4596.95	-598637
1197	4157.3	-588063
1198	4157.3	-620141
1199	4157.3	-623493
1200	4157.3	-656028
1201	4157.3	-661504
1202	4157.3	-671359
1203	4157.3	-687102
1204	4157.3	-697153
1205	4157.3	-712239
1206	4157.3	-603184
1207	4157.3	-586256
1208	13538.5	-676143
1209	46816.6	-577834
1210	0	-468819.1422
1211	0	-429665.1339
1212	0	-417062.986
1213	0	-407746.3296
1214	0	-365450.2817
1215	0	-352017.104
1216	0	-354703.7608
1217	0	-399546.9693
1218	43733.4	-520909
1219	29225.9	-557152
1220	25152	-468573
1221	22849.3	-507691
1222	12685.9	-537792
1223	7659.37	-582182
1224	6015.01	-592269
1225	5441.86	-605671
1226	5254.21	-621605
1227	5142.37	-633241
1228	5059.88	-635875
1229	4990.25	-669733
1230	4975.37	-571655
1231	5742.45	-562487
1232	27547	-669067
1233	0	-496322.2722
1234	0	-416194.6101
1235	0	-355768.6106
1236	0	-336086.3173
1237	0	-337369.2862
1238	0	-301720.8872
1239	0	-282695.0781
1240	0	-297258.4567
1241	0	-349882.0524
1242	0	-448770.4045
1243	40822.3	-545370
1244	33774.2	-541490
1245	30923.2	-544428
1246	18771.5	-574018
1247	10614.6	-591857
1248	8058.48	-595678
1249	7413.91	-550433
