"1=Loop running this hour, 0=Off"	"Net hourly loop load, including thermal losses and pump heat"	"Net hourly loop load, including thermal losses and pump heat"	Outside dry-bulb temp (F)	Rain flag (1 - rainfall)
1	4153.27	-528241	-2	0
1	4153.27	-519737	-6	0
1	4153.27	-540233	-9	0
1	4153.27	-468668	-8	0
1	4153.27	-394611	-6	0
1	4153.27	-325323	-5	0
1	4153.27	-390787	-2	0
1	8696.43	-548913	0	0
1	9287.7	-503313	3	0
1	8661.98	-495641	6	0
1	8384.98	-482645	10	0
1	8159.92	-477676	13	0
1	7978.48	-462406	18	0
1	7377.36	-270799	22	0
1	7157.94	-293251	27	0
1	7065.89	-320138	27	0
1	6945.75	-482378	28	0
1	6803.06	-491188	28	0
1	6669.77	-493841	28	0
1	4786.54	-463334	28	0
1	4153.27	-468182	28	0
1	4153.27	-480085	27	0
1	4153.27	-498252	27	0
1	4153.27	-509963	26	0
1	4153.27	-536587	24	0
1	4153.27	-542778	23	0
1	4153.27	-585779	21	0
1	4153.27	-550989	17	0
1	4153.27	-529594	13	0
1	4153.27	-332864	9	0
1	4153.27	-322443	9	0
1	20665.9	-610938	9	0
1	66233.2	-551094	9	0
1	94869.8	-512316	12	0
1	109192	-478686	14	0
1	109983	-379311	17	0
1	113438	-370415	17	0
1	125802	-436778	17	0
1	139508	-420252	17	0
1	134973	-414363	14	0
1	106698	-382836	10	0
1	70361.4	-340068	7	0
1	47180.3	-273995	5	0
1	38821.1	-296481	4	0
1	35713	-322318	2	0
1	21456.6	-402929	0	0
1	11088.9	-445174	-2	0
1	7884.51	-496007	-4	0
1	7155.52	-513946	-5	0
1	6890.57	-495021	-6	0
1	6725.54	-509559	-7	0
1	6601.3	-518614	-7	0
1	6495.56	-568652	-8	0
1	6474.47	-364161	-8	0
1	7593.49	-345554	-8	0
1	45955.2	-638632	-8	0
1	113154	-584334	-8	0
1	147220	-532167	-4	0
1	161291	-473412	0	0
1	159649	-350362	4	0
1	160803	-342197	5	0
1	172177	-414246	7	0
